time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3800000000000008,-0.0115482570928,-0.113271400807,6.6181464712,6.21189544154,6.26700346509,0.0,-0.0116118616112,-0.38232358534,6.23092305729,-0.0893738229971,-0.0976955074643,0.0,500.667017567,499.82457957,499.635864693,-500.145826295
1.4400000000000008,-0.0118384332854,-0.137913305956,6.99785727084,6.20670131367,6.26107974015,0.0,0.00260322249636,-0.439604146788,6.4249615752,-0.0814659732789,-0.100877984563,0.0,500.245005376,500.005977939,499.763337504,-500.148845506
1.5000000000000009,-0.0111406831974,-0.166094651509,7.38897670496,6.20195982586,6.2549629133,0.0,0.0213280023539,-0.500240434123,6.61121591753,-0.07452938848,-0.104174141349,0.0,500.341099368,500.093279472,499.658850549,-499.969179319
1.560000000000001,-0.00918193496473,-0.19800622033,7.79106119029,6.1975437518,6.24863954606,0.0,0.0446467794252,-0.56389324626,6.7904665356,-0.071791984781,-0.10793590556,0.0,500.361996049,500.079645808,500.175896241,-500.175315509
1.620000000000001,-0.00568527685817,-0.233818122264,8.20366109259,6.19321607506,6.24215555784,0.0,0.0725999734044,-0.63022835414,6.9617396694,-0.0727919779546,-0.108328660698,0.0,500.265802432,500.228353772,500.090615329,-499.812707298
1.680000000000001,-0.000372096751155,-0.273689486308,8.62631221053,6.18879476082,6.23566404853,0.0,0.105186077986,-0.699208774848,7.12551524505,-0.075527800519,-0.107919772395,0.0,500.403787722,500.424696025,500.023341152,-499.61360586
1.740000000000001,0.00703283555672,-0.31777954182,9.05856413324,6.18433612849,6.2291842391,0.0,0.142310252443,-0.770854265523,7.28177698724,-0.0719684104043,-0.108151241083,0.0,500.473035061,500.447358465,499.741337965,-499.785454411
1.8000000000000012,0.0167994141556,-0.366246732374,9.49997572493,6.18000345615,6.22281144954,0.0,0.183890115364,-0.84508703826,7.43085142176,-0.0726867324564,-0.102597183597,0.0,500.306186486,500.701997866,499.980919795,-499.708819029
1.8600000000000012,0.0291884999874,-0.419242175265,9.95011333497,6.17587951096,6.21688070149,0.0,0.229673062454,-0.921779093721,7.57266200247,-0.0618017140581,-0.0922420017916,0.0,500.160184855,500.906728415,499.556511093,-500.125910053
1.9200000000000013,0.0444390839832,-0.476905107443,10.4085450535,6.17230397319,6.21175717997,0.0,0.27918496623,-1.00060094251,7.70734988519,-0.05549403157,-0.0743636327001,0.0,499.914850915,501.21097875,499.711893214,-499.944434569
1.9800000000000013,0.0627543816758,-0.539351809176,10.8748513377,6.16900316375,6.20756235065,0.0,0.331717542286,-1.08120022661,7.83517627481,-0.0540575178558,-0.0622427264543,0.0,500.042059942,500.921320395,500.026768768,-499.900556289
2.0400000000000014,0.0842952407692,-0.606683036409,11.3486220728,6.1657297321,6.20401269349,0.0,0.38662616809,-1.16340980223,7.95619167464,-0.05556300102,-0.0536195117439,0.0,500.273544319,500.899168832,500.009401215,-499.664826619
2.1000000000000014,0.109189121348,-0.678993346168,11.8294407919,6.1624267493,6.20094618863,0.0,0.44342845116,-1.24717368771,8.07013770453,-0.0540316659125,-0.046509194255,0.0,500.180639032,500.69698392,499.779815297,-499.652695884
2.1600000000000015,0.137541904616,-0.756379612493,12.3169233844,6.15926222415,6.19814454234,0.0,0.501884009914,-1.33259425037,8.17834366897,-0.0502707982002,-0.0470663975121,0.0,500.606422623,500.564836666,499.926745691,-499.958558624
2.2200000000000015,0.169447650624,-0.838936726467,12.8107245269,6.15644376091,6.19544745,0.0,0.561853631421,-1.41950408268,8.28078164821,-0.0410775197412,-0.0410269721637,0.0,500.488793572,500.927374168,499.876200857,-500.300583926
2.2800000000000016,0.204992302429,-0.926744485442,13.3104943664,6.15415655725,6.19307400201,0.0,0.623143658776,-1.50756163125,8.37733535088,-0.0327715108904,-0.0367701623307,0.0,500.444442817,500.753690226,500.107283168,-500.464035783
2.3400000000000016,0.244249328317,-1.01986234099,13.8158963747,6.15251910349,6.19083095381,0.0,0.685578209276,-1.59645035554,8.46855418711,-0.0181125680514,-0.0386409669294,0.0,500.809822412,500.673203385,500.000661252,-500.81703795
2.4000000000000017,0.287284023258,-1.11832380749,14.3265988324,6.15178280758,6.1883483013,0.0,0.74908187822,-1.68559748269,8.5540584776,-0.00258921124152,-0.0475036886315,0.0,500.92626653,500.280445631,500.021130184,-500.89763878
2.4600000000000017,0.334165224615,-1.22212537173,14.8422522623,6.15180468982,6.18537847465,0.0,0.813845161553,-1.77437817174,8.63362848834,0.00570776831725,-0.0538144160698,0.0,500.707896524,500.247192863,500.043790381,-500.39166735
2.520000000000002,0.384978707469,-1.33123444176,15.3625214286,6.15229078034,6.18206297027,0.0,0.880192234617,-1.86247460247,8.70795007151,0.0125113754034,-0.0583139381384,0.0,500.399358532,500.069914157,500.215645526,-500.451856838
2.580000000000002,0.439825337588,-1.44560227625,15.8870954277,6.15313952422,6.17851118295,0.0,0.948306496742,-1.9496411761,8.77715633099,0.0172359540037,-0.0610218332396,0.0,500.290661013,500.091363272,500.157075135,-500.239447016
2.640000000000002,0.498815674268,-1.56516889496,16.4156800129,6.15421383769,6.17480498225,0.0,1.018329211,-2.03575123332,8.84166615161,0.0192182164053,-0.0633092935707,0.0,500.380693656,500.211817386,500.087771768,-499.96806949
2.700000000000002,0.562067108628,-1.68986902742,16.9480029671,6.15558148513,6.17103375379,0.0,1.09035084602,-2.12074614699,8.90179679613,0.0291327641646,-0.0619584521347,0.0,500.08257142,500.17861793,499.970776647,-500.426528027
